"video","phase","phase_type","pole_location","safe_location","time_in_pole_initial","time_in_safe_initial","time_in_safe_total","time_outside_safe_after_reaching","time_to_safe","start_in_pole","first_to_safe"
"FC_1",2,"trial","L","R",0,0,53.87,0,0,0,0
"FC_1",4,"trial","L","R",5.47,53.5,53.5,0,6.1,1,0
"FC_1",6,"trial","L","L",3.6,55.97,55.97,0,3.6,1,1
"FC_1",8,"trial","L","L",3.57,55.97,55.97,0,3.57,1,1
"FC_1",10,"trial","L","R",2.3,31.47,50.33,3.6,5.7,1,0
"FC_1",12,"trial","L","L",3.27,56.33,56.33,0,3.27,1,1
"FC_1",14,"trial","L","R",4.33,54.6,54.6,0,4.97,1,0
"FC_1",16,"trial","L","L",4.27,4,55.23,0.03,4.27,1,1
"FC_1",18,"trial","L","L",2.2,57.37,57.37,0,2.2,1,1
"FC_1",20,"trial","L","L",3.13,56.47,56.47,0,3.13,1,1
"FC_1",22,"trial","L","R",2.63,37.2,50.83,0.13,8.57,1,0
"FC_1",24,"trial","L","L",4.2,1.6,53.57,1.87,4.2,1,1
"FC_1",26,"trial","L","R",2.03,54.8,54.8,0,4.77,1,0
"FC_1",28,"trial","L","R",3.37,52.57,52.57,0,7.03,1,0
"FC_1",30,"trial","L","L",4.63,54.97,54.97,0,4.63,1,1
"FC_1",32,"trial","L","R",4.9,54.03,54.03,0,5.53,1,0
"FC_1",34,"trial","L","R",6.53,52.5,52.5,0,7.13,1,0
"FC_1",36,"trial","L","R",1.53,55.4,55.4,0,4.13,1,0
"FC_1",38,"trial","L","L",2.57,57.03,57.03,0,2.57,1,1
"FC_1",40,"trial","L","R",4.27,54.63,54.63,0,4.93,1,0
"FC_1",42,"trial","L","R",7.7,51.17,51.17,0,8.37,1,0
"FC_1",44,"trial","L","R",2.27,0.33,56.27,0.07,3.27,1,0
"FC_1",46,"trial","L","L",3.3,56.23,56.23,0,3.3,1,1
"FC_1",48,"trial","L","R",4.77,54.03,54.03,0,5.63,1,0
"FC_1",50,"trial","L","L",5.27,54.4,54.4,0,5.27,1,1
"FC_1",52,"trial","L","L",6.53,53.03,53.03,0,6.53,1,1
"FC_1",54,"trial","L","L",5.47,54.1,54.1,0,5.47,1,1
