"phase","phase_type","FC_1","FC_11","FS_9"
2,"trial",NA,NA,NA
6,"trial",55.97,55.03,NA
8,"trial",55.97,58.57,NA
10,"trial",NA,NA,NA
12,"trial",56.33,NA,NA
14,"trial",NA,56.53,NA
16,"trial",55.23,58.6,NA
18,"trial",57.37,NA,NA
20,"trial",56.47,54.6,NA
22,"trial",NA,55.6,NA
24,"trial",53.57,NA,NA
26,"trial",NA,52.23,NA
28,"trial",NA,54.13,NA
30,"trial",54.97,NA,NA
32,"trial",NA,NA,NA
36,"trial",NA,53.77,NA
38,"trial",57.03,NA,NA
40,"trial",NA,54.4,NA
42,"trial",NA,55.27,NA
44,"trial",NA,54.5,NA
46,"trial",56.23,NA,NA
48,"trial",NA,NA,NA
50,"trial",54.4,NA,NA
52,"trial",53.03,56.8,NA
54,"trial",54.1,56.9,NA
56,"trial",NA,NA,NA
58,"trial",54.03,54.17,NA
60,"trial",55.17,NA,NA
